Enviado1;CAT;Word
Enviado2;CAT;Word
Enviado3;CAT;Word
Enviado4;CAT;Word
Enviado5;CAT;Word
Enviado6;CAT;Word
Enviado7;CAT;Word
Enviado8;CAT;Word
Enviado9;CAT;Word
Enviado10;CAT;Word
Enviado11;CAT;Word
Enviado12;CAT;Word
Enviado13;CAT;Word
Enviado14;CAT;Word
Enviado15;CAT;Word
Enviado16;CAT;Word
Enviado17;CAT;Word
Enviado18;CAT;Word
Enviado19;CAT;Word
Enviado20;CAT;Word
Enviado21;CAT;Word
Enviado22;CAT;Word
Enviado23;CAT;Word
Enviado24;CAT;Word
Enviado25;CAT;Word
Enviado26;CAT;Word
Enviado27;CAT;Word
Enviado28;CAT;Word
Enviado29;CAT;Word
Enviado30;CAT;Word
Enviado31;CAT;Word
Enviado32;CAT;Word
Enviado33;CAT;Word
Enviado34;CAT;Word
Enviado35;CAT;Word
Enviado36;CAT;Word
Enviado37;CAT;Word
Enviado38;CAT;Word
Enviado39;CAT;Word
Enviado40;CAT;Word
Enviado41;CAT;Word
Enviado42;CAT;Word
Enviado43;CAT;Word
Enviado44;CAT;Word
Enviado45;CAT;Word
Enviado46;CAT;Word
Enviado47;CAT;Word
Enviado48;CAT;Word
Enviado49;CAT;Word
Enviado50;CAT;Word
Enviado51;CAT;Word
Enviado52;CAT;Word
Enviado53;CAT;Word
Enviado54;CAT;Word
Enviado55;CAT;Word
Enviado56;CAT;Word
Enviado57;CAT;Word
Enviado58;CAT;Word
Enviado59;CAT;Word
Enviado60;CAT;Word
Enviado61;CAT;Word
Enviado62;CAT;Word
Enviado63;CAT;Word
Enviado64;CAT;Word
Enviado65;CAT;Word
Enviado66;CAT;Word
Enviado67;CAT;Word
Enviado68;CAT;Word
Enviado69;CAT;Word
Enviado70;CAT;Word
Enviado71;CAT;Word
Enviado72;CAT;Word
Enviado73;CAT;Word
Enviado74;CAT;Word
Enviado75;CAT;Word
Enviado76;CAT;Word
Enviado77;CAT;Word
Enviado78;CAT;Word
Enviado79;CAT;Word
Enviado80;CAT;Word
Enviado81;CAT;Word
Enviado82;CAT;Word
Enviado83;CAT;Word
Enviado84;CAT;Word
Enviado85;CAT;Word
Enviado86;CAT;Word
Enviado87;CAT;Word
Enviado88;CAT;Word
Enviado89;CAT;Word
Enviado90;CAT;Word
Enviado91;CAT;Word
Enviado92;CAT;Word
Enviado93;CAT;Word
Enviado94;CAT;Word
Enviado95;CAT;Word
Enviado96;CAT;Word
Enviado97;CAT;Word
Enviado98;CAT;Word
Enviado99;CAT;Word
Enviado100;CAT;Word
Enviado101;CAT;Word
Enviado102;CAT;Word
Enviado103;CAT;Word
Enviado104;CAT;Word
Enviado105;CAT;Word
Enviado106;CAT;Word
Enviado107;CAT;Word
Enviado108;CAT;Word
Enviado109;CAT;Word
Enviado110;CAT;Word
Enviado111;CAT;Word
Enviado112;CAT;Word
Enviado113;CAT;Word
Enviado114;CAT;Word
Enviado115;CAT;Word
Enviado116;CAT;Word
Enviado117;CAT;Word
Enviado118;CAT;Word
Enviado119;CAT;Word
Enviado120;CAT;Word
Enviado121;CAT;Word
Enviado122;CAT;Word
Enviado123;CAT;Word
Enviado125;CAT;Word
Enviado124;CAT;Word
Enviado126;CAT;Word
Enviado127;CAT;Word
Enviado128;CAT;Word
Enviado129;CAT;Word
Enviado130;CAT;Word
Enviado131;CAT;Word
Enviado132;CAT;Word
Enviado133;CAT;Word
Enviado134;CAT;Word
Enviado135;CAT;Word
Enviado136;CAT;Word
Enviado137;CAT;Word
Enviado138;CAT;Word
Enviado139;CAT;Word
Enviado140;CAT;Word
Enviado141;CAT;Word
Enviado142;CAT;Word
Enviado143;CAT;Word
Enviado144;CAT;Word
Enviado145;CAT;Word
Enviado146;CAT;Word
Enviado147;CAT;Word
Enviado148;CAT;Word
Enviado149;CAT;Word
Enviado150;CAT;Word
Enviado151;CAT;Word
Enviado152;CAT;Word
Enviado153;CAT;Word
Enviado154;CAT;Word
Enviado155;CAT;Word
Enviado156;CAT;Word
Enviado157;CAT;Word
Enviado158;CAT;Word
Enviado159;CAT;Word
Enviado160;CAT;Word
Enviado161;CAT;Word
Enviado162;CAT;Word
Enviado163;CAT;Word
Enviado164;CAT;Word
Enviado165;CAT;Word
Enviado166;CAT;Word
Enviado167;CAT;Word
Enviado168;CAT;Word
Enviado169;CAT;Word
Enviado170;CAT;Word
Enviado171;CAT;Word
Enviado172;CAT;Word
Enviado173;CAT;Word
Enviado174;CAT;Word
Enviado175;CAT;Word
Enviado176;CAT;Word
Enviado177;CAT;Word
Enviado178;CAT;Word
Enviado179;CAT;Word
Enviado180;CAT;Word
Enviado181;CAT;Word
Enviado182;CAT;Word
Enviado183;CAT;Word
Enviado184;CAT;Word
Enviado185;CAT;Word
Enviado186;CAT;Word
Enviado187;CAT;Word
Enviado188;CAT;Word
Enviado189;CAT;Word
Enviado190;CAT;Word
Enviado191;CAT;Word
Enviado192;CAT;Word
Enviado193;CAT;Word
Enviado194;CAT;Word
Enviado195;CAT;Word
Enviado196;CAT;Word
Enviado197;CAT;Word
Enviado198;CAT;Word
Enviado199;CAT;Word
Enviado200;CAT;Word
Enviado201;CAT;Word
Enviado202;CAT;Word
Enviado203;CAT;Word
Enviado204;CAT;Word
Enviado205;CAT;Word
Enviado206;CAT;Word
Enviado207;CAT;Word
Enviado208;CAT;Word
Enviado209;CAT;Word
Enviado210;CAT;Word
Enviado211;CAT;Word
Enviado212;CAT;Word
Enviado213;CAT;Word
Enviado214;CAT;Word
Enviado215;CAT;Word

word1;CAT;Word
int1;CAT;Int
real1;CAT;Real
bool_0;CAT;Bool
